"ID","Player","Team","Position","RkOv","Salary","FPts","FP/G","Ros","+/-","RC","Pts-1","Pts-2","Pts-3","Pts-4","MLL","1LL","PLG"
"*04mm9*","William Byron","Hendrick","null","1","34.00","1556","43.22","96%","+5.3%","36","154","133","933","35","5","21","171"
"*01bwt*","Denny Hamlin","Joe Gibbs","null","2","33.00","1491","41.42","90%","-7.7%","36","145","165","898","2","2","27","136"
"*0397x*","Kyle Larson","Hendrick","null","3","31.00","1389","38.58","97%","+2.4%","36","130","142","819","7","5","21","161"
"*01bxs*","Martin Truex","Joe Gibbs","null","4","30.00","1363","37.86","87%","-7.7%","36","148","94","838","34","3","19","139"
"*05akf*","Christopher Bell","Joe Gibbs","null","5","31.00","1355","37.64","91%","+1.9%","36","147","93","861","13","3","21","121"
"*03nse*","Chris Buescher","RFK Racing","null","6","28.00","1295","35.97","70%","-0.5%","36","38","72","878","29","1","12","213"
"*03arg*","Ryan Blaney","Penske","null","7","28.00","1294","35.94","95%","+1.9%","36","119","90","807","40","2","17","143"
"*01bx0*","Brad Keselowski","RFK Racing","null","8","28.00","1273","35.36","71%","-12.5%","36","82","132","794","18","2","18","147"
"*04die*","Ross Chastain","Trackhouse","null","9","26.00","1246","34.61","84%","+4.3%","36","99","105","786","15","3","16","146"
"*01bwu*","Kevin Harvick","Stewart Haas","null","10","26.00","1223","33.97","95%","+9.2%","36","70","84","781","26","0","13","197"
"*04yqn*","Tyler Reddick","23XI","null","11","27.00","1193","33.14","86%","-1.4%","36","148","102","756","32","1","17","65"
"*01bwk*","Kyle Busch","Richard Childress","null","12","25.00","1170","32.5","88%","-1.5%","36","56","75","778","31","1","15","150"
"*01bx4*","Joey Logano","Penske","null","13","24.00","1147","31.86","84%","0%","36","59","87","783","16","2","13","127"
"*03mmb*","Chase Elliott","Hendrick","null","14","32.00","1117","38.52","84%","+0.5%","29","53","63","693","3","0","13","240"
"*04dqs*","Bubba Wallace","23XI","null","15","21.00","1038","28.83","72%","-4.8%","36","83","51","728","33","1","12","78"
"*0277s*","Ricky Stenhouse","JTG Daugherty","null","16","22.00","1021","28.36","56%","+1%","36","7","29","666","30","0","6","259"
"*03aqb*","Alex Bowman","Hendrick","null","17","23.00","951","28.82","70%","-4.9%","33","46","58","632","25","0","9","145"
"*04ajt*","Daniel Suarez","Trackhouse","null","18","20.00","933","25.92","60%","+0.5%","36","58","50","634","14","0","9","132"
"*062zw*","Ty Gibbs","Joe Gibbs","null","19","20.00","919","25.53","67%","-9.2%","36","49","46","665","11","0","5","123"
"*01byz*","Michael McDowell","Front Row","null","20","19.00","913","25.36","51%","+2.4%","36","53","45","642","9","1","8","119"
"*01bw9*","AJ Allmendinger","Kaulig","null","21","20.00","905","25.14","54%","-1.5%","36","32","29","608","23","1","6","178"
"*03oaw*","Erik Jones","Legacy Motor Club","null","22","17.00","876","24.33","55%","+13%","36","6","34","593","5","0","4","218"
"*03kdk*","Corey LaJoie","Spire","null","23","18.00","873","24.25","45%","-0.5%","36","11","2","564","20","0","5","251"
"*03t9w*","Ryan Preece","Stewart Haas","null","24","16.00","871","24.19","54%","-1.9%","36","39","15","558","24","1","4","210"
"*01bwa*","Aric Almirola","Stewart Haas","null","25","15.00","868","24.11","58%","-5.3%","36","24","13","616","12","1","9","153"
"*04zst*","Justin Haley","Kaulig","null","26","14.00","820","22.78","23%","+2.9%","36","9","6","556","22","0","2","217"
"*05grn*","Chase Briscoe","Stewart Haas","null","27","13.00","815","22.64","62%","-8.2%","36","23","31","583","17","1","5","131"
"*05grp*","Todd Gilliland","Front Row","null","28","13.00","783","21.75","31%","-2.4%","36","1","7","538","4","0","0","233"
"*027by*","Austin Dillon","Richard Childress","null","29","11.00","773","21.47","51%","-1.9%","36","12","43","522","28","0","5","143"
"*05grq*","Austin Cindric","Penske","null","30","11.00","741","20.58","49%","-1%","36","38","25","548","6","0","5","99"
"*05gdp*","Harrison Burton","Wood Brothers","null","31","10.00","626","17.39","32%","+2%","36","0","6","425","19","0","3","161"
"*03c90*","Ty Dillon","Spire","null","32","9.00","578","16.06","34%","+2.9%","36","0","14","340","10","0","4","194"
"*01bz5*","JJ Yeley","Rick Ware","null","33","9.00","424","16.31","21%","+1.9%","26","0","0","240","21","0","4","143"
"*03woa*","BJ McLeod","Live Fast","null","34","7.00","300","13.04","18%","+1.9%","23","0","0","164","8","0","2","118"
"*05gro*","Noah Gragson","Legacy Motor Club","null","35","0.00","246","11.71","19%","0%","21","4","10","184","1","0","2","37"
"*05t5o*","Josh Berry","Hendrick","null","36","0.00","243","24.3","12%","+0.5%","10","0","0","163","0","0","2","70"
"*061os*","Zane Smith","Front Row","null","37","0.00","140","17.5","7%","0%","8","0","0","57","27","0","1","51"
"*06byj*","Carson Hocevar","Spire","null","38","8.00","134","14.89","38%","+4.6%","9","0","6","112","0","0","0","16"
"*05grl*","Chandler Smith","","null","39","0.00","132","33","2%","0%","4","0","0","68","0","0","0","64"
"*068yh*","Riley Herbst","Rick Ware","null","40","0.00","122","30.5","8%","0%","4","0","0","73","0","0","1","44"
"*042av*","Cody Ware","Rick Ware","null","41","0.00","114","16.29","12%","-1%","7","0","0","65","0","0","1","44"
"*04bz6*","Josh Bilicki","Live Fast","null","42","0.00","107","10.7","3%","-0.5%","10","0","0","72","0","0","1","30"
"*06cgh*","Shane van Gisbergen","Trackhouse","null","43","0.00","96","48","5%","+0.5%","2","10","7","67","0","0","2","2"
"*01bxc*","Ryan Newman","","null","45","8.00","83","10.38","21%","+3%","8","0","0","57","0","0","0","26"
"*0639u*","Austin Hill","Beard Oil","null","44","0.00","83","13.83","4%","0%","6","0","0","56","0","0","0","27"
"*04mun*","Cole Custer","","null","46","0.00","76","10.86","13%","+8.4%","7","0","0","53","0","0","0","23"
"*063y9*","Mike Rockenfeller","","null","48","0.00","54","18","4%","0%","3","0","0","39","0","0","0","15"
"*06al7*","Jenson Button","Rick Ware","null","47","0.00","54","18","2%","0%","3","1","0","44","0","0","0","9"
"*0689v*","Travis Pastrana","23XI","null","49","0.00","45","45","4%","0%","1","0","0","26","0","0","1","14"
"*04mtn*","Brennan Poole","","null","50","0.00","44","6.29","1%","0%","7","0","0","33","0","0","0","11"
"*01gkb*","Andy Lally","","null","51","0.00","42","8.4","1%","0%","5","0","0","34","0","0","0","8"
"*0662h*","Conor Daly","TMT","null","52","0.00","22","11","2%","0%","2","0","0","9","0","0","0","13"
"*02gb1*","Grant Enfinger","","null","53","0.00","20","20","1%","0%","1","0","0","11","0","0","0","9"
"*06ak3*","Jordan Taylor","","null","54","0.00","16","16","3%","0%","1","3","0","13","0","0","0","0"
"*06f92*","Brodie Kostecki","Richard Childress","null","55","0.00","15","15","1%","0%","1","0","0","15","0","0","0","0"
"*06axm*","Sheldon Creed","","null","56","0.00","13","13","0%","-0.5%","1","0","0","8","0","0","0","5"
"*01bwx*","Jimmie Johnson","Legacy Motor Club","null","57","0.00","12","4","9%","0%","3","4","0","7","1","0","0","0"
"*05r3r*","Anthony Alfredo","","null","58","0.00","8","4","0%","0%","2","0","0","6","0","0","0","2"
"*061lq*","Kimi Raikkonen","","null","59","0.00","8","8","0%","0%","1","0","0","8","0","0","0","0"
"*05a1b*","John Hunter Nemechek","","null","60","0.00","5","5","6%","-2.2%","1","0","0","5","0","0","0","0"
"*06eyq*","Kamui Kobayashi","","null","61","0.00","4","4","1%","0%","1","0","0","4","0","0","0","0"
"*01bze*","Matt Crafton","","null","62","0.00","3","3","1%","0%","1","0","0","3","0","0","0","0"
"*06al5*","Jonathan Davenport","","null","63","0.00","1","1","1%","0%","1","0","0","1","0","0","0","0"
